#{"manifestVersion":1,"columnDefinitions":[{"csvName":"Country","dbName":"country","csvIndex":0,"type":"text"},{"csvName":"Time","dbName":"time","csvIndex":1,"type":"text"},{"csvName":"category_1","dbName":"category_1","csvIndex":2,"type":"text"},{"csvName":"category_2","dbName":"category_2","csvIndex":3,"type":"text"},{"csvName":"category_3","dbName":"category_3","csvIndex":4,"type":"text"},{"csvName":"category_4","dbName":"category_4","csvIndex":5,"type":"text"},{"csvName":"value","dbName":"value","csvIndex":6,"type":"integer"}]}
"Country"	"Time"	"category_1"	"category_2"	"category_3"	"category_4"	"value"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"1134"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"General Government"	""	"6831"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"Households"	""	"716"
"finnland"	"2002-07-01"	"Total"	"Domestic"	"NPISHs"	""	"93"
"finnland"	"2002-07-01"	"Total"	"Rest of the world"	""	""	"46319"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1155"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"2464"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"342"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3704"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Others"	"922"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"General Government"	""	"5974"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"Households"	""	"325"
"finnland"	"2002-10-01"	"Total"	"Domestic"	"NPISHs"	""	"91"
"finnland"	"2002-10-01"	"Total"	"Rest of the world"	""	""	"47523"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Non-financial corporations"	""	"1798"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Central Bank"	"0"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Other MFIs"	"2429"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Money market funds"	"451"
"finnland"	"2003-01-01"	"Total"	"Domestic"	"Financial and insurance corporations"	"Insurance corporations and pension funds"	"3099"
